epoch,train_loss,train_acc@1
1,2.790012195611456,20.660828025477706
2,1.7501865458336605,37.97770700636943
3,1.4245030401618617,50.517515923566876
4,1.2399525437385412,55.453821656050955
5,1.140388078750319,58.797770700636946
6,1.0210988563337144,64.3312101910828
7,0.9077472777882959,67.99363057324841
8,0.8369917005869993,70.46178343949045
9,0.7539853385299634,73.40764331210191
10,0.668201852376294,76.79140127388536
11,0.6256753472006245,78.46337579617834
12,0.586677365242296,79.93630573248407
13,0.5490490854925411,81.36942675159236
14,0.5182667617585249,82.1656050955414
15,0.4744594510953138,83.9171974522293
16,0.43180298577448367,85.54936305732484
17,0.4358992090650425,85.46974522292993
18,0.4069032372942396,86.22611464968153
19,0.33762954635794756,88.05732484076434
20,0.3707996496729031,87.53980891719745
21,0.3475895845776151,88.57484076433121
22,0.3269941794929231,88.57484076433121
23,0.2690628373603912,91.44108280254777
24,0.310865548385936,89.37101910828025
25,0.30223815257002595,90.04777070063695
26,0.3236296711264143,89.13216560509554
27,0.2551158212932052,91.1624203821656
28,0.23336658688487522,91.75955414012739
29,0.2576816143693438,91.0828025477707
30,0.25821871457585865,90.48566878980891
